英文,音标,词性,中文
hello,/hə'ləʊ/,interj.,你好；喂
how,/haʊ/,adv.,怎样；如何
do,/duː; də/,aux v. & v.,（第三人称单数形式 does /dʌz/）用于构成否定句和疑问句；做；干
you,/juː; ju/,pron.,你；您；你们
people,/'piːpl/,n.,人；人们
hi,/haɪ/,interj.,嗨；喂
good,/ɡʊd/,adj.,好的
morning,/'mɔːnɪŋ/,n.,早晨；上午
and,/ænd; ənd/,conj.,和；又
Ms,/mɪz; məz/,,（用于女子的姓氏或姓名前，不指明婚否）女士
class,/klɑːs/,n.,班级；课
sit,/sɪt/,v.,坐
down,/daʊn/,adv.,下；向下
please,/pliːz/,interj.,（用于客气地请求或吩咐）请
can,/kæn; kən/,modal v.,能；会
say,/seɪ/,v.,说
to,/tuː; tə/,prep.,常用于原形动词之前，表示该动词为不定式；朝；至
the,"/ðiː; ðə, ði/",art.,指已提到或易领会到的人或事物
I,/aɪ/,pron.,我
am,/æm; əm/,v.,是
thank,/θæŋk/,v.,感谢；谢谢
my,/maɪ/,pron.,我的
name,/neɪm/,n.,名字；名称
is,/ɪz/,v.,是
nice,/naɪs/,adj.,令人愉快的；宜人的
meet,/miːt/,v.,遇见；相逢
so,/səʊ/,conj. & adv.,用来引出评论或问题；所以；这么；那么
what,/wɒt/,pron. & adj.,什么
your,/jɔː(r); jə(r)/,pron.,你的；您的；你们的
too,/tuː/,adv.,也；又；太
a,/eɪ; ə/ (an /æn; ən/),art.,（用于单数可数名词前，表示未曾提到的）一（人、事、物）
are,/ɑː(r); ə(r)/,v.,是
goodbye,/ˌɡʊd'baɪ/,interj. & n.,再见；再会
call,/kɔːl/,v. & n.,把……叫作；（给……）打电话；呼唤；打电话；大声呼叫
me,/miː; mi/,pron.,（I 的宾格）我
fine,/faɪn/,adj.,健康的；美好的
great,/ɡreɪt/,adj.,美妙的；伟大的
that,/ðæt/,pron.,那；那个
let,/let/,v.,允许；让
us,/ʌs; əs/,pron.,（we 的宾格）我们
go,/ɡəʊ/,v.,去；走
bye,/baɪ/ (= goodbye),interj.,再见
it,/ɪt/,pron.,它
time,/taɪm/,n.,时间；次
for,/fɔː(r); fə(r)/,prep.,为了；给；对
keep,/kiːp/,v.,（使）保持
tidy,/'taɪdi/,adj.,整洁的；井井有条的
have,/hæv; həv/,v.,（第三人称单数形式 has /hæz; həz/）有
in,/ɪn/,prep.,在……里；表示某事完成或发生的方式
schoolbag,/'skuːlbæɡ/,n.,书包
cap,/kæp/,n.,（无帽边或有帽舌的）帽子；棒球帽
ruler,/'ruːlə(r)/,n.,尺；直尺
pencil,/'pensl/,n.,铅笔
brown,/braʊn/,adj. & n.,棕色（的）；褐色（的）
black,/blæk/,adj. & n.,黑色（的）
yellow,/'jeləʊ/,adj. & n.,黄色（的）
orange,/'ɒrɪndʒ/,adj. & n.,橙红色（的）；橘黄色（的）；橙子；柑橘
green,/ɡriːn/,adj. & n.,绿色（的）
blue,/bluː/,adj. & n.,蓝色（的）
white,/waɪt/,adj. & n.,白色（的）
red,/red/,adj. & n.,红色（的）
colour,/'kʌlə(r)/ (= color),n.,颜色
trousers,/'traʊzəz/,n. (pl.),裤子
they,/ðeɪ/,pron.,他（她、它）们
bicycle,/'baɪsɪkl/ (= bike /baɪk/),n.,自行车；脚踏车
shoe,/ʃuː/,n.,鞋
where,/weə(r)/,adv.,在哪里；到哪里
put,/pʊt/,v.,放
bed,/bed/,n.,床
desk,/desk/,n.,书桌
chair,/tʃeə(r)/,n.,椅子
sock,/sɒk/,n.,短袜
some,/sʌm; səm/,adj. & pron.,一些；某些；有些；有的
pair,/peə(r)/,n.,一双；一对
of,/ɒv; əv/,prep.,属于（某人）；关于（某人）
on,/ɒn/,prep.,在……上
under,/'ʌndə(r)/,prep.,在……下
mum,/mʌm/ (= mom /mɒm/),n.,妈妈
not,/nɒt/,adv.,不；没有
find,/faɪnd/,v.,找到；发现
new,/njuː/,adj.,新的；刚出现的
no,/nəʊ/,interj. & adj.,不；不要；没有；不是
room,/ruːm/,n.,房间
OK,/əʊ'keɪ/,interj. & adj. & adv.,好；行；可以（的）
sorry,/'sɒri/,adj.,抱歉的；惋惜的
dad,/dæd/,n.,爸爸
glasses,/'ɡlɑːsɪz/,n. (pl.),眼镜
see,/siː/,v.,看见
them,/ðem; ðəm/,pron.,（they 的宾格）他（她、它）们
head,/hed/,n.,头
welcome,/'welkəm/,"adj. & interj., v. & n.",受欢迎的；欢迎
her,/hɜː(r); hə(r)/,pron.,她的
nose,/nəʊz/,n.,鼻子
cat,/kæt/,n.,猫
these,/ðiːz/,pron.,这些
plant,/plɑːnt/,n. & v.,植物；种植
baby,/'beɪbi/,n.,动物幼崽；婴儿
chicken,/'tʃɪkɪn/,n.,鸡；鸡肉
dog,/dɒɡ/,n.,狗
rabbit,/'ræbɪt/,n.,兔子
tomato,/tə'mɑːtəʊ; tə'meɪtəʊ/,n.,(pl. tomatoes) 西红柿
flower,/'flaʊə(r)/,n.,花
apple,/'æpl/,n.,苹果
tree,/triː/,n.,树
this,/ðɪs/,pron.,这；这个
those,/ðəʊz/,pron.,那些
animal,/'ænɪml/,n.,动物
duck,/dʌk/,n.,鸭子
potato,/pə'teɪtəʊ/,n.,(pl. potatoes) 土豆
many,/'meni/,adj. & pron.,许多
grandpa,/'ɡrænpɑː/ (= grandfather /'ɡrænfɑːðə(r)/),n.,爷爷；外公
farm,/fɑːm/,n.,农场
cow,/kaʊ/,n.,奶牛
small,/smɔːl/,adj.,小的
lake,/leɪk/,n.,湖
house,/haʊs/,n.,房子
horse,/hɔːs/,n.,马
sheep,/ʃiːp/,n.,(pl. sheep) 羊；绵羊
big,/bɪɡ/,adj.,大的
look,/lʊk/,v.,看；看起来
uncle,/'ʌŋkl/,n.,舅父；叔父；伯父；姑父；姨父
grass,/ɡrɑːs/,n.,草
kind,/kaɪnd/,n. & adj.,种类；体贴的；亲切的
he,/hiː; hi/,pron.,他
pig,/pɪɡ/,n.,猪
there,/ðeə(r)/,adv.,在那里
behind,/bɪ'haɪnd/,prep.,在……的后面
home,/həʊm/,n.,家
beautiful,/'bjuːtɪfl/,adj.,美丽的
like,/laɪk/,v. & prep.,喜欢；例如；像……一样
his,/hɪz; ɪz/,pron.,他的
at,/æt; ət/,prep.,向；朝；在（某处、某时间或时刻）
