英文,音标,词性,中文
"a, an",/ei/,art,一（个）
able,/'eibl/,adj,能干的，能够的
about,/ə'baut/,adv & prep,大约；关于；到处
above,/ə'bʌv/,prep,在上方，超出
accident,/'æksidənt/,n,事故，意外
across,/ə'krɒs/,prep,越过，穿过，与...相交叉
act,/ækt/,v,行动；表演，扮演
activity,/æk'tiviti/,n,活动，行动，活跃
actor,/'æktə/,n,演员
actually,/'æktʃuəli/,adv,实际上，事实上
add,/æd/,v,加，增加
address,/ə'dres/,n,地址
adult,/'ædʌlt/,adj & n,成年人；成年的
advanced,/əd'vɑ:nst/,adj,在前的，高级的，先进的
adventure,/əd'ventʃə/,n,冒险，冒险经历
advertisement,/.ædvə'taizmənt/,n,广告，启事，广告宣传
aeroplane,/'eərəplein/,n,飞机
afraid,/ə'freid/,adj,害怕的，担心的
Africa,/'æfrikə/,n,非洲
after,/'ɑ:ftə/,adv & prep,后来，在...之后，由于
afternoon,/'ɑ:ftə'nu:n/,n,午后，下午
afterwards,/'ɑ:ftəwədz/,adv,然后，后来
again,/ə'gein/,adv,再一次，又，到原处
against,/ə'geinst/,prep,反对，对着，倚靠
age,/eidʒ/,n,年龄
ago,/ə'gəu/,adv,以前
agree,/ə'gri:/,v,同意，赞成
air,/eə/,n,空气；空中
airport,/'eəpɒ:t/,n,飞机场
alive,/ə'laiv/,adj,活着的
all,/ɒ:l/,det & pron,全部
all right,/ɒ:l rait/,adv,好的；行
almost,/'ɒ:lməust/,adv,几乎，差不多
alone,/ə'ləun/,adj & adv,孤独的，独自地，单独的
along,/ə'lɒŋ/,prep & adv,沿着；向前
already,/ɒ:l'redi/,adv,已经，早已
also,/'ɒ:lsəu/,adv,也，并且，同样地
always,/'ɒ:lweiz/,adv,总是，始终
a.m.,/ˌeɪ ˈem/,adv,上午，午前
amazing,/ə'meiziŋ/,adj,令人惊异的
ambulance,/'æmbjuləns/,n,救护车
America,/ə'merikə/,n,美国
American,/ə'merikən/,adj & n,美国的；美国人
among,/ə'mʌŋ/,prep,在...之中
and,/ænd/,conj,和，与
angry,/'æŋgri/,adj,生气的，愤怒的
animal,/'æniməl/,n,动物
another,/ə'nʌðə/,det & pron,又一个，另一个，类似的另一个
answer,/'ɑ:nsə/,n & v,答案，回答，反驳
Antarctica,/ænt'ɑ:ktikə/,n,南极洲
any,/'eni/,det & pron,任何
anybody,/'enibɒdi/,pron,任何人
anyone,/'eniwʌn/,pron,任何人
anything,/'eniθiŋ/,pron,任何事
anyway,/'eniwei/,adv,无论如何，至少
anywhere,/'enihweə/,adv,无论何处
apartment,/ə'pɑ:tmənt/,n,房间，公寓
apple,/'æpl/,n,苹果
appointment,/ə'pɒintmənt/,n,预约；约会
April,/'eiprəl/,n,四月
area,/'eəriə/,n,区域，面积，范围
arm,/ɑ:m/,n,手臂，胳膊
around,/ə'raund/,adv & prep,兜着圈子，包围，在附近
arrive,/ə'raiv/,v,到达，抵达
art,/ɑ:t/,n,艺术，人文科学，技术
article,/'ɑ:tikl/,n,文章，冠词，物品
artist,/'ɑ:tist/,n,艺术家，画家
as,/æz/,prep,作为；像，如同
Asia,/'eiʒə/,n,亚洲
ask,/ɑ:sk/,v,问，要求，邀请
assistant,/ə'sistənt/,n,助手，助理，助教
as well,/æz wel/,adv,也
as well as,/æz wel æz/,prep phr,也；和…一样
at,/æt/,prep,在，向，对
at all,/æt ɒ:l/,adv,根本，完全
at the same time,/æt ðə seim taim/,adv,同时
August,/ɒ:'gʌst. 'ɒ:gəst/,n,八月
aunt,/ɑ:nt/,n,阿姨，姨妈，舅妈
Australia,/ɒ'streiljə/,n,澳大利亚
Australian,/ɒ'streiljən/,adj & n,澳大利亚的；澳大利亚人
autumn,/'ɒ:təm/,n,秋天，成熟期
away,/ə'wei/,adv,离去
baby,/'beibi/,n,婴孩
back,/bæk/,"n, adv & adj",背部，向后地，后面的
bad,/bæd/,adj,坏的
badminton,/'bædmintən/,n,羽毛球运动
bag,/bæg/,n,袋子，袋状物
bake,/beik/,v,烤；烘焙
ball,/bɒ:l/,n,球；球状物
banana,/bə'nɑ:nə/,n,香蕉
band,/bænd/,n,带子，队，乐队
bank,/bæŋk/,n,银行，堤，岸
barbecue,/'bɑ:bikju:/,n,烧烤；烤肉
baseball,/'beisbɒ:l/,n,棒球
basketball,/'bɑ:skitbɒ:l/,n,篮球
bat,/bæt/,n,球拍；蝙蝠
bath,/bæθ.bɑ:θ/,n,沐浴，浴室
bathroom,/'bɑ:θru:m/,n,浴室，厕所
be,/bi:/,v,是，表示，在
beach,/bi:tʃ/,n,海滩
bear,/beə/,n,熊
beautiful,/'bju:tiful/,adj,美丽的
because,/bi'kɒ:z/,conj,因为
become,/bi'kʌm/,v,适合，变成，变得
bed,/bed/,n,床，睡眠处，河床
bedroom,/'bedrum/,n,卧室
before,/bi'fɒ:/,adv & prep,在前，在...之前
begin,/bi'gin/,v,开始
beginner,/bi'ginə/,n,初学者
behind,/bi'haind/,adv & prep,在后地，在...背后
believe,/bi'li:v/,v,相信
belong,/bi'lɒŋ/,v,属于，合适
below,/bi'ləu/,prep,在下面
belt,/belt/,n,带子，地带
beside,/bi'said/,prep,在…旁边
better,/'betə/,adj & adv,更好的；较好地
between,/bi'twi:n/,prep,在...之间
bicycle,/'baisikl/,n,自行车
big,/big/,adj,大的，重要的
bike,/baik/,n,自行车，脚踏车
bill,/bil/,n,帐单，清单，钞票
bird,/bɜ:d/,n,鸟，羽毛球
birthday,/'bɜ:θdei/,n,生日
biscuit,/'biskit/,n,饼干
bit,/bit/,n,一点，少量
black,/blæk/,adj,黑色的
blanket,/'blæŋkit/,n,毛毯，毯子
blonde,/blɔnd/,adj,（头发）金色的
blouse,/blauz/,n,宽松的上衣
blue,/blu:/,adj,蓝色的；忧郁的
board,/bɒ:d/,n,木板，板子
boat,/bəut/,n,船
body,/'bɒdi/,n,身体，躯体
boil,/bɒil/,v,煮沸，烧开
book,/buk/,n & v,书，登记，书籍
bookshelf,/'bukʃelf/,n,书架
bookshop,/'bukʃɒp/,n,书店
boot,/bu:t/,n,靴子
boots,/bu:ts/,n pl,靴子
bored,/bɔ:d/,adj,感到无聊的，烦闷的
boring,/'bɒ:riŋ/,adj,无聊的，令人厌烦的
born,/bɒ:n/,adj,出生的；天生的
borrow,/'bɒrəu/,v,借，借入，借用
boss,/bɒs/,n,老板，上司
both,/bəuθ/,pron & det,两者
bottle,/'bɒtl/,n,瓶子，酒瓶
bottom,/'bɒtəm/,n,底部
bowl,/bəul/,n,碗
box,/bɒks/,n,盒子，箱，方框
boy,/bɒi/,n,男孩
brake,/breik/,n & v,刹车；制动器
Brazil,/brə'zil/,n,巴西
Brazilian,/brə'ziljən/,adj & n,巴西的；巴西人
bread,/bred/,n,面包
break,/breik/,n & v,打破；弄坏；休息
breakfast,/'brekfəst/,n,早餐
bridge,/bridʒ/,n,桥，舰桥，桥梁
brilliant,/'briljənt/,adj,灿烂的；极好的；聪颖的
bring,/briŋ/,v,带来，拿来
Britain,/'britən/,n,英国
British,/'britiʃ/,adj & n,英国的；英国人
brother,/'brʌðə/,n,兄弟
brown,/braun/,adj,褐色的
brush,/brʌʃ/,n & v,刷子；刷
build,/bild/,v,建立，建筑
building,/'bildiŋ/,n,建筑物，建筑
burger,/'bɜ:gə/,n,汉堡包
burn,/bɜ:n/,v,烧，燃烧，烧毁
bus,/bʌs/,n,公共汽车
business,/'biznis/,n,生意，事情，业务
businessman,/'biznismæn/,n,商人，企业家
businesswoman,/'bizniswjmæn/,n,女商人，女企业家
bus station,/bʌs ˈsteiʃən/,n,公交车站
bus stop,/bʌs stɒp/,n,公共汽车站
busy,/'bizi/,adj,忙的，忙碌的
but,/bʌt/,conj,但是
butter,/'bʌtə/,n,奶油，黄油
buy,/bai/,v,买，获得
by,/bai/,prep,被；由；乘（交通工具）
by post,/bai pəust/,prep phr,邮寄；通过邮政
cafe,/kɑ:'fei/,n,咖啡馆，酒店
cake,/keik/,n,蛋糕，块，饼
call,/kɒ:l/,v,呼叫，叫喊，召集
camel,/'kæml/,n,骆驼
camera,/'kæmərə/,n,照相机，摄像机
camp,/kæmp/,n & v,露营，使扎营，帐篷
campsite,/kæmp'sait/,n,营地
can,/kæn/,n & v,能，会；罐头
Canada,/'kænədə/,n,加拿大
Canadian,/kə'neidiən/,adj & n,加拿大的；加拿大人
canal,/kə'næl/,n,运河，水道，管
cap,/kæp/,n,帽子；鸭舌帽
car,/kɑ:/,n,汽车，客车
card,/kɑ:d/,n,卡片，纸牌，节目单
career,/kə'riə/,n,职业，事业
careful,/'keəful/,adj,小心的，谨慎的
carefully,/'keəfuli/,adv,仔细地
car park,/kɑ: pɑ:k/,n,停车场
carpet,/'kɑ:pit/,n,地毯，地毯状物
carrot,/'kærət/,n,胡萝卜
carry,/'kæri/,v,携带，被携带，运送
cartoon,/kɑ:'tu:n/,n,卡通画，漫画
cash,/kæʃ/,n & v,现金，兑现
castle,/'kæsl. 'kɑ:sl/,n,城堡
cat,/kæt/,n,猫
catch,/kætʃ/,v,捕捉，抓住，赶上
cathedral,/kə'θi:drəl/,n,大教堂
CD,/ˌsiː ˈdiː/,n,激光唱片；光盘
CD player,/ˌsiː ˈdiː 'pleiə/,n,CD播放机
cent,/sent/,n,分
centimetre,"/'senti,mi:tə(r)/",n,厘米，公分
centre,/'sentə/,n,中心，中心点，中锋
century,/'sentʃuri/,n,世纪，百年
cereal,/'siəriəl/,n,谷类早餐；麦片
certain,/'sɜ:tən/,adj,确定的，某一个的，必然的
certainly,/'sɜ:tənli/,adv,确定地
chair,/tʃeə/,n,椅子
change,/tʃeindʒ/,v & n,改变，变化，更换
channel,/'tʃænəl/,n,频道；海峡；水道
chat,/tʃæt/,n,闲谈
chatroom,/'tʃætˌru:m/,n,聊天室
cheap,/tʃi:p/,adj,便宜的，不值钱的，可鄙的
check,/tʃek/,v,检查，核对
cheers,/tʃiəz/,exclam,干杯！；再见！
cheese,/tʃi:z/,n,乳酪
chemist,/'kemist/,n,药剂师；化学家
cheque,/tʃek/,n,支票
chicken,/'tʃikin/,n,小鸡，鸡肉
child,/tʃaild/,n,孩子，儿童
China,/'tʃainə/,n,中国
Chinese,/tʃai'ni:z/,adj & n,中国的；中国人；汉语
chips,/tʃips/,n pl,炸薯条
chocolate,/'tʃɒkəlit/,n,巧克力
choose,/tʃu:z/,v,选择，挑选
Christmas,/'krisməs/,n,圣诞节
church,/tʃɜ:tʃ/,n,教堂，礼拜，教会
cinema,/'sinəmə/,n,电影院，电影
circle,/'sɜ:kl/,n,圆形；圆圈
circus,/'sɜ:kəs/,n,马戏团
city,/'siti/,n,城市，市
city centre,/ˈsiti ˈsentə/,n,市中心
class,/klɑ:s/,n,班级，阶级，种类
classical,/'klæsikl/,adj,古典的，经典的
classmate,/'klɑ:smeit/,n,同班同学
class member,/klɑ:s 'membə/,n,同班同学
classroom,/'klɑ:sru:m/,n,教室
clean,/kli:n/,adj & v,干净的，清理，被搞干净
cleaner,/'kli:nə/,n,清洁工
clear,/kliə/,adj,清楚的；明亮的
clever,/'klevə/,adj,聪明的，精明的
click,/klik/,v,点击；发出咔哒声
climb,/klaim/,v,攀登，上升，爬
clock,/klɒk/,n,时钟，钟
close,/kləuz/,v,关，关闭；合上
closed,/kləuzd/,adj,关闭的，限于少数人的
close to,/kləuz tu:/,prep phr,接近于，靠近于
clothes,/kləuðz/,n pl,衣服
cloud,/klaud/,n,云，云朵
cloudy,/'klaudi/,adj,多云的，有愁容的，云的
clown,/klaun/,n,小丑
club,/klʌb/,n,俱乐部；球棒
coach,/kəutʃ/,n,教练；长途客车
coat,/kəut/,n,外套
coffee,/'kɒfi/,n,咖啡
cola,/'kəulə/,n,可乐
cold,/kəuld/,adj & n,寒冷的，感冒，冷淡的
colleague,/'kɒli:g/,n,同事，同僚
collect,/kə'lekt/,v,收集，采集
college,/'kɒlidʒ/,n,学院，大学，学会
colour,/'kʌlə/,n,颜色，面色，颜料
comb,/kəum/,n,梳子
come,/kʌm/,v,过来，来，到达
comfortable,/'kʌmfətəbl/,adj,舒服的，轻松的
company,/'kʌmpəni/,n,公司；陪伴
competition,/.kɒmpi'tiʃən/,n,竞争，竞赛
computer,/kəm'pju:tə/,n,电脑，电子计算机
concert,/'kɒnsət/,n,音乐会
congratulations,/kənˌɡrætʃʊˈleɪʃnz/,exclam,祝贺！恭喜！
conversation,/.kɒnvə'seiʃən/,n,会话，说话，交谈
cook,/kuk/,n & v,厨师；烹饪，煮
cooker,/'kukə/,n,炊具，炉灶
cool,/ku:l/,adj,凉爽的；酷的
corner,/'kɒ:nə/,n,角落，拐角
correct,/kə'rekt/,adj,正确的，合适的
cost,/kɒst/,n & v,费用，价格；花费
costume,/'kɒstju:m/,n,装束，服装
cough,/kɒf/,n & v,咳嗽
could,/kud/,v,可以，能
country,/'kʌntri/,n,国家，乡村，地区
countryside,/'kʌntrisaid/,n,乡村，农村
course,/kɒ:s/,n,课程；过程
cousin,/'kʌzən/,n,堂兄弟姊妹，表兄弟姊妹
cow,/kau/,n,奶牛，母牛
crayon,/'kreiən/,n,蜡笔
