# 人工定稿表（plan Step 4b）：word \t 中文。优先级最高，覆盖自动流水线输出。
# 来源：5 批人工 review 全部 1500 词后逐条修正。
a, an	一（个）
about	大约；关于；到处
accident	事故，意外
act	行动；表演，扮演
actor	演员
actually	实际上，事实上
add	加，增加
address	地址
adult	成年人；成年的
afraid	害怕的，担心的
age	年龄
agree	同意，赞成
air	空气；空中
all right	好的；行
apple	苹果
appointment	预约；约会
as	作为；像，如同
as well as	也；和…一样
ball	球；球状物
barbecue	烧烤；烤肉
bit	一点，少量
blonde	（头发）金色的
blue	蓝色的；忧郁的
board	木板，板子
boil	煮沸，烧开
boot	靴子
bored	感到无聊的，烦闷的
boring	无聊的，令人厌烦的
born	出生的；天生的
boss	老板，上司
bowl	碗
brake	刹车；制动器
bread	面包
break	打破；弄坏；休息
brilliant	灿烂的；极好的；聪颖的
bring	带来，拿来
burger	汉堡包
businessman	商人，企业家
businesswoman	女商人，女企业家
busy	忙的，忙碌的
by	被；由；乘（交通工具）
camel	骆驼
camera	照相机，摄像机
career	职业，事业
castle	城堡
cat	猫
CD	激光唱片；光盘
CD player	CD播放机
chair	椅子
channel	频道；海峡；水道
chatroom	聊天室
check	检查，核对
chemist	药剂师；化学家
child	孩子，儿童
chips	炸薯条
choose	选择，挑选
circus	马戏团
class member	同班同学
classical	古典的，经典的
clear	清楚的；明亮的
click	点击；发出咔哒声
clock	时钟，钟
close	关，关闭；合上
cloud	云，云朵
clown	小丑
club	俱乐部；球棒
coach	教练；长途客车
coffee	咖啡
collect	收集，采集
comb	梳子
company	公司；陪伴
congratulations	祝贺！恭喜！
concert	音乐会
cook	厨师；烹饪，煮
cooker	炊具，炉灶
cool	凉爽的；酷的
corner	角落，拐角
cost	费用，价格；花费
countryside	乡村，农村
course	课程；过程
cow	奶牛，母牛
cream	奶油；乳霜
cross	横过，穿过；交叉
crossing	交叉路口；人行横道
crossroads	十字路口
crowd	人群，群众
cry	哭，喊叫
cup	杯子
cupboard	橱柜，碗柜
curtains	窗帘
customer	顾客
cycle	骑自行车；循环
dark	黑暗的；深色的
date	日期；约会
dead	死的
dear	亲爱的；贵的
decide	决定
delay	耽搁，延误
department	部门，系
describe	描述，描写
desk	书桌，课桌
die	死，死亡
digital	数字的
dinner	晚餐，正餐
dirty	脏的
disco	迪斯科舞厅
discount	折扣
dish	盘子，碟子；菜肴
dog	狗
dollar	美元
down	向下，下去
download	下载；下载的文件
dragon	龙
draw	画；拉；抽出
drawing	图画，素描
dream	梦，梦想
dress	连衣裙；穿衣，打扮
drink	饮料；喝
drive	驾驶，开车
dry	干的；使变干
DVD	数字影碟，DVD光盘
each	每个，各
ear	耳朵
easy	容易的
eat	吃
email	电子邮件
empty	空的；倒空
engine	引擎，发动机
enough	足够的，充足的
enter	进入；参加
entrance	入口，进入
envelope	信封
euro	欧元
even	甚至
excited	兴奋的，激动的
excuse	原谅；借口
exercise	锻炼；练习
exhibition	展览，展览会
exit	出口
expensive	昂贵的
explore	探索，探险
explorer	探险家，探索者
factory	工厂
fail	失败；不及格
fair	公平的；合理的
fall	落下，跌倒；（美式）秋天
famous	出名的，著名的
far	远，很远
fashion	时尚，流行款式
fast	快的；快地
father	父亲
field	田地，场地；领域
fill	装满，填充
fill in	填写，填充
film	电影；胶片
first name	名，名字
fit	健康的；合适的
flat	公寓，单元房
flight	航班；飞行
floor	地板；楼层
flower	花，花朵
fly	飞；苍蝇
fog	雾
foggy	有雾的
foot	脚；英尺
foreign	外国的
fork	叉子，餐叉
form	表格；形式；种类
free	自由的；免费的；空闲的
full of	充满…的
furniture	家具
game	游戏；比赛
gate	大门，栅栏门
get on	上车；进展；相处
get up	起床，起身
girl	女孩
glasses	眼镜
go	去，走；进行
goal	球门；目标
gold	金子，黄金；金色的
gram	克（重量单位）
grandchild	孙子女；外孙子女
granddad	爷爷；外公
grandparent	（外）祖父/母
great	伟大的；极好的；大的
green	绿色的
grill	烤，烧烤
grilled	烤的
grow	种植，生长
grow up	长大，成长
guest-house	宾馆，家庭旅馆
guide	向导，导游；指南
guy	家伙，小伙子
hard	坚硬的；困难的
heating	供暖，暖气设备
hip hop	嘻哈音乐
hobby	爱好，业余爱好
hold	拿着；握住；举行
holidays	假期，假日
horse	马
hot	热的；辣的
hour	小时，钟头
house	房子，住宅
hurry	匆忙，催促
husband	丈夫
ice	冰
ice cream	冰淇淋
idea	主意，想法
ill	生病的
improve	改善，提高
include	包括，包含
insect	昆虫
instructions	说明，指示
instrument	乐器；仪器，工具
insurance	保险
internet	互联网
into	进入，到…里面
invite	邀请
island	岛，岛屿
jacket	夹克，外套
jam	果酱；堵塞
jeans	牛仔裤
join	参加，加入
journalist	新闻记者
juice	果汁；汁
jump	跳，跳跃
key	钥匙；键；答案
