id,sentence_en,sentence_zh,grammar,new_words,extend_words,extend_note,phrases,review_note,covered_ids
1,"I am Lucy, and we are in Seaview, our new town. Our new home is a house, and there is a gate on the garden wall.",我是露西，我们来到了海边小镇 Seaview，这就是我们的新家。我们的新家是一栋房子，花园的围墙上有一道门。,be 动词随主语变化：I 用 am，we 用 are，单数主语用 is。there be 表示“某处有某物”：There is a gate。介词 in / on 表示位置：in Seaview、on the garden wall。our 是物主代词“我们的”。,"I|/ai/|pron|我; be|/bi:/|v|是，表示，在; and|/ænd/|conj|和，与; we|/wi:/|pron|我们; in|/in/|adv & prep|进入，在...期间，朝里; our|/'auə/|det|我们的; new|/nju:/|adj|新的，陌生的，最近的; town|/taun/|n|城镇; home|/həum/|n & adv|家，在家，避难所; a, an|/ei/|art|一（个）; house|/haus/|n|房子，住宅; there|/ðeə/|adv|在那里; on|/ɒn/|prep & adv|在...之上，上去; the|/ðə/|det|这，那（定冠词）",garden|/'gɑ:dn/|n|花园，果园，菜园; gate|/geit/|n|大门，栅栏门; wall|/wɒ:l/|n|墙，墙壁,房屋与院落（锚词：house）,in our new town|在我们的新小镇里; our new home|我们的新家; on the garden wall|在花园的围墙上,第 1 天：新学，无回读。,"1,45,99,520,523,616,625,634,645,851,898,911,1292,1299,1350,1423,1433"
2,"This is your new bedroom, Tom. It is a big room, and you have got a window here. There is a small door, and the kitchen floor is new.",这是你的新卧室，汤姆。它是个大房间，你这里有一扇窗户。这里有一扇小门，厨房的地板也是新的。,there be 表示“某处有某物”：There is a small door。have got 表示“拥有”，主语 you 后用 have got；have 与 have got 同义。it 作代词，指前面提到的 bedroom。,this|/θis/|det & pron|这，这个; your|/juə/|det|你的，你们的; bedroom|/'bedrum/|n|卧室; it|/it/|pron|它; big|/big/|adj|大的，重要的; room|/ru:m/|n|房间；空间; you|/ju:/|pron|你，你们; have|/hæv/|v|有，怀有，拿; have got|/hæv gɔt/|v|拥有; window|/'windəu/|n|窗户; here|/hiə/|adv|在这里，此时，这里; small|/smɒ:l/|adj|小的; door|/dɒ:/|n|门; kitchen|/'kitʃin/|n|厨房，全套炊具; floor|/flɒ:/|n|地板；楼层,bathroom|/'bɑ:θru:m/|n|浴室，厕所; toilet|/'tɒilit/|n|厕所，洗手间; hall|/hɒ:l/|n|门厅，走廊，会堂,更多房间（锚词：room）,your new bedroom|你的新卧室; a big room|一个大房间; the kitchen floor|厨房的地板,今日回读：请重新朗读背诵第 1 天的句子。本句复现：第 1 天的 be 动词（is）、there be 句型（There is）以及 the / a / and / new。,"98,106,119,354,479,577,585,586,601,669,698,1070,1168,1312,1336,1466,1494,1496"
3,"This is our family. She is our mother, and he is our father. They are our parents. Tom is the son and our baby brother. I am the sister.",这是我们的全家。她是我们的妈妈，他是我们的爸爸。他们是我们的父母。汤姆是儿子，是我们最小的弟弟。我是姐姐。,人称代词与 be 动词搭配：she is / he is / they are。our 是形容词性物主代词，表示“我们的”，后接名词。our baby brother 指“家里最小的弟弟”（汤姆七岁），不是婴儿。,family|/'fæməli/|n|家庭，家人，族; she|/ʃi:/|pron|她; mother|/'mʌðə/|n|母亲; he|/hi:/|pron|他; father|/'fɑ:ðə/|n|父亲; they|/ðei/|pron|他们，它们; parent|/'perənt/|n|父（母）亲; son|/sʌn/|n|儿子; baby|/'beibi/|n|婴孩; brother|/'brʌðə/|n|兄弟; sister|/'sistə/|n|姐妹,"dad|/dæd/|n|爸爸，爹爹; mummy|/'mʌmi/|n|妈妈; grandpa|/'grænpɑ:, 'grændpɑ:/|n|爷爷，老太爷，外公; grandma|/'grændmɑ:/|n|奶奶，外婆 || daughter|/'dɒ:tə/|n|女儿; aunt|/ɑ:nt/|n|阿姨，姨妈，舅妈",家庭称呼（锚词：father）；女儿与姑姨（锚词：sister）,our family|我们的家庭; our baby brother|我们最小的弟弟; our parents|我们的父母,今日回读：请重新朗读背诵第 1、2 天的句子。本句复现：第 1 天的 be 动词与 our / the / and / I；第 2 天的 this。,"78,83,162,309,318,437,448,550,552,588,820,832,929,1118,1146,1188,1301"
4,"This is me in my new room. My furniture is here: my bed, desk, chair, lamp and clock. A sofa, table, cupboard and fridge are in the hall.",这是在新房间里的我。我的家具都在这儿：我的床、书桌、椅子、台灯和钟。沙发、桌子、碗柜和冰箱还在门厅里。,"形容词性物主代词 my 修饰名词，表示“我的”：my bed、my new room。并列名词短语列举时，只在第一个名词前加限定词（my bed, desk, chair, lamp and clock）。介词 in 表示位置：in my new room、in the hall。",me|/mi:/|pron|我; my|/mai/|det|我的; furniture|/'fənitʃə/|n|家具; bed|/bed/|n|床，睡眠处，河床; desk|/desk/|n|书桌，课桌; chair|/tʃeə/|n|椅子; lamp|/læmp/|n|灯; clock|/klɒk/|n|时钟，钟; sofa|/'səufə/|n|沙发; table|/'teibl/|n|桌子；表格; cupboard|/'kʌpbɒ:d/|n|橱柜，碗柜; fridge|/fridʒ/|n|电冰箱,bookshelf|/'bukʃelf/|n|书架; shelf|/ʃelf/|n|架子，搁板; pillow|/'piləu/|n|枕头; blanket|/'blæŋkit/|n|毛毯，毯子,收纳与床品（锚词：bed）,in my new room|在我的新房间里; my bed and desk|我的床和书桌; in the hall|在门厅里,今日回读：请重新朗读背诵第 2、3 天的句子。本句复现：第 1 天的 in / the / a / new / home；第 2 天的 this、room、here；第 3 天的 our。,"105,127,136,217,253,304,332,506,517,706,779,837,970,1120,1180,1263"
5,"Open the box from Grandma, Tom, and put the things in your room. Carry the heavy bag with me, and close that empty box. This bag is for you.",汤姆，把奶奶寄来的箱子打开，把里面的东西放到你的房间里。和我一起搬这个很重的包，再把那个空箱子合上。这个包是给你的。,祈使句用动词原形开头，表示请求或命令：Open…、Carry…、close…。介词 with 表示“和……一起”（with me），for 表示“给……”（for you），from 表示“来自……”（from Grandma）。,open|/'əupən/|adj & v|开着的；打开; box|/bɒks/|n|盒子，箱，方框; from|/frɒm/|prep|从，来自，根据; put|/put/|v|放，摆; thing|/θiŋ/|n|东西，事物; carry|/'kæri/|v|携带，被携带，运送; heavy|/'hevi/|adj|重的，巨大的，沉重的; bag|/bæg/|n|袋子，袋状物; with|/wið/|prep|和…在一起；用; close|/kləuz/|v|关，关闭；合上; empty|/'empti/|adj & v|空的；倒空; for|/fɒ:/|prep|为，因为，至于,wallet|/'wɒlit/|n|皮夹，钱包; purse|/pɜ:s/|n|钱包; key|/ki:/|n|钥匙；键；答案,随身小物（锚词：bag）,open the box|打开箱子; put the things in your room|把东西放进你的房间; a heavy bag|一个很重的包,今日回读：请重新朗读背诵第 1、3、4 天的句子。本句复现：第 1 天的 be 动词与 the / and / in；第 2 天的 your / room / this / you；第 3 天的 grandma（扩展词）；第 4 天的 me。,"87,149,201,254,397,489,510,596,691,904,1020,1022,1303,1424,1473"
6,"Our new place is near an old bridge and a river. There is a park, a shop and a supermarket near the road, and a hill near us.",我们的新家附近有一座旧桥和一条河。路边有公园、商店和超市，我们身边还有一座小山。,"介词 near 表示“在……附近”：near an old bridge、near us。there be 后接并列名词（There is a park, a shop and a supermarket）。old 作定语修饰名词；us 是宾格，作介词 near 的宾语。",place|/pleis/|n|地方，地点; near|/niə/|adv & prep|近的；接近; old|/əuld/|adj|老的，旧的，古老的; bridge|/bridʒ/|n|桥，舰桥，桥梁; river|/'rivə/|n|河，江; park|/pɑ:k/|n & v|公园；停车; shop|/ʃɒp/|n & v|商店；购物; supermarket|/'sju:pəmɑ:kit/|n|超级市场，超市; road|/rəud/|n|路，道路; hill|/hil/|n|小山，丘陵，小土堆; us|/ʌs/|pron|我们,market|/'mɑ:kit/|n|市场，集市; bookshop|/'bukʃɒp/|n|书店,更多场所（锚词：shop）,near the road|在路边; an old bridge|一座旧桥; near us|在我们附近,今日回读：请重新朗读背诵第 2、4、5 天的句子。本句复现：第 1 天的 our / new / the / a / and 与 be 动词、there be；第 2 天的 room 家族方位表达。,"137,157,605,772,844,896,930,975,1065,1066,1125,1247,1402"
7,"Hello! Welcome! My name is Lucy, and Mr and Mrs Carter are the parents of Tom and me. We are glad to meet our nice neighbour at Seaview. Goodbye!",你好！欢迎！我叫露西，卡特先生和卡特太太是汤姆和我的父母。我们很高兴在 Seaview 认识我们这位好邻居。再见！,问候与道别用语：Hello / Welcome / Goodbye。of 表示所属关系：the parents of Tom and me。介词 at + 地点表示“在……（地点）”：at Seaview。形容词 nice 作定语修饰 neighbour。,hello|/hə'ləu/|exclam|喂，嘿; welcome|/'welkəm/|v|欢迎; name|/neim/|n|名字，名称; Mr|/'mistə(r)/|n|先生，存储器回收程序，多重请求; Mrs|/'misiz/|n|太太; of|/ɒv/|prep|的，属于; glad|/glæd/|adj|高兴的，喜欢的，情愿的; to|/tu:/|prep|到，向; meet|/mi:t/|v|遇见；会面; nice|/nais/|adj|美好的，令人愉快的; neighbour|/'neibə/|n|邻居; at|/æt/|prep|在，向，对; goodbye|/gud'bai/|exclam|再见,please|/pli:z/|v & exclam|请；使高兴; thank|/θæŋk/|v|谢谢，感谢; sorry|/'sɒri/|adj|难过的；抱歉的; cheers|/tʃiəz/|exclam|干杯！；再见！; pardon|/'pɑ:dn/|exclam|请再说一遍；原谅,礼貌用语（锚词：hello）,nice to meet you|很高兴认识你; Mr and Mrs Carter|卡特先生和卡特太太; at Seaview|在 Seaview,今日回读：请重新朗读背诵第 3、5、6 天的句子。本句复现：第 1 天的 I / we / our / the / and 与 be 动词；第 3 天的 family 相关称呼；第 4 天的 my / me。,"74,224,534,543,598,785,828,829,839,848,858,889,928,986,1191,1291,1331,1444"
8,"Our neighbour's cat is three, and the dog by our door is five, not eight. Tom's age is seven, and he is a boy. I am a girl.",我们邻居家的猫三岁，我们家门口的狗五岁，不是八岁。汤姆的年龄是七岁，他是男孩。我是女孩。,数词 three / five / eight / seven 作表语。名词所有格用 's：Tom's age、our neighbour's cat。be 动词的否定式 is not。介词 by 表示“在……旁边”：by our door。,cat|/kæt/|n|猫; three|/θri:/|num|三; dog|/dɒg/|n|狗; by|/bai/|prep|被；由；乘（交通工具）; five|/faiv/|num|五; not|/nɒt/|adv|不，非，未; eight|/eit/|num|八; age|/eidʒ/|n|年龄; boy|/bɒi/|n|男孩; girl|/gɜ:l/|n|女孩,"one|/wʌn/|pron, det & num|一，任何人，一个; two|/tu:/|num|二; four|/fɒ:/|num|四; six|/siks/|num|六; seven|/'sevn/|num|七; nine|/nain/|num|九; ten|/ten/|num|十",基数词 1-10（锚词：five）,by our door|在我们门边; Tom's age|汤姆的年龄; the cat and the dog|猫和狗,今日回读：请重新朗读背诵第 1、4、6、7 天的句子。本句复现：第 1 天的 be 动词与 a / the / and / our；第 2 天的 door；第 3 天的 he；第 7 天的 neighbour。,"25,150,179,205,350,385,475,497,532,861,877,900,1109,1150,1279,1315,1387"
9,"Our neighbour has no children. I am twelve, not fifteen, not twenty, not zero. My father is a man, and my mother is a woman: they are adults.",我们邻居家没有孩子。我十二岁，不是十五岁，不是二十岁，也不是零岁。我的爸爸是男人，妈妈是女人：他们是成年人。,数词 eleven–twenty 表示十一到二十。no + 名词 = not any：no children（没有孩子）。名词不规则复数：child → children。be 动词否定用 is not / am not。,no|/nəu/|det & exclam|不，没有; child|/tʃaild/|n|孩子，儿童; twelve|/twelv/|num|十二; fifteen|/'fif'ti:n/|num|十五; twenty|/'twenti/|num|二十; zero|/'ziərəu/|n|零; man|/mæn/|n|男人，人类，人; woman|/'wumən/|n|女人，妇女; adult|/'ædʌlt/|adj & n|成年人；成年的,eleven|/i'levn/|num|十一; thirteen|/'θɜ:'ti:n/|num|十三; fourteen|/'fɒ:'ti:n/|num|十四; sixteen|/'siks'ti:n/|num|十六; seventeen|/sevn'ti:n/|num|十七; eighteen|/'ei'ti:n/|num|十八; nineteen|/.nain'ti:n/|num|十九,基数词 11-20（锚词：twelve）,no children|没有孩子; a man and a woman|一位男士和一位女士; my father and mother|我的爸爸和妈妈,今日回读：请重新朗读背诵第 2、5、7、8 天的句子。本句复现：第 1 天的 be 动词与 our；第 3 天的 father / mother / parents；第 4 天的 my；第 7 天的 neighbour。,"13,229,386,393,456,498,766,862,866,1110,1151,1307,1374,1376,1475,1499"
10,"The colour of my new schoolbag is blue. I have got a red pen, a yellow pencil, a rubber, a ruler and a sharpener from the shop.",我的新书包是蓝色的。我从商店买到了一支红笔、一支黄铅笔、一块橡皮、一把尺子和一个卷笔刀。,形容词作表语（The colour is blue）和定语（a red pen、a yellow pencil）。of 结构表示所属：the colour of my new schoolbag。have got 表示“拥有”，后接并列名词。,colour|/'kʌlə/|n|颜色，面色，颜料; schoolbag|/'sku:lbæg/|n|书包; blue|/blu:/|adj|蓝色的；忧郁的; red|/red/|adj|红色的; pen|/pen/|n|钢笔，笔，笔调; yellow|/'jeləu/|adj|黄色的；黄色; pencil|/'pensl/|n|铅笔，色笔，眉笔; rubber|/'rʌbə/|n|橡皮; ruler|/'ru:lə/|n|尺子; sharpener|/'ʃɑ:pnə/|n|卷笔刀,green|/gri:n/|adj|绿色的; black|/blæk/|adj|黑色的; white|/hwait/|adj|白色的; grey|/grei/|adj|灰色的，阴沉的; pink|/piŋk/|adj|粉红色的; purple|/'pɜ:pl/|adj|紫色的,常见颜色（锚词：blue）,a red pen|一支红笔; the colour of my schoolbag|我书包的颜色; from the shop|从商店买来的,今日回读：请重新朗读背诵第 3、6、8、9 天的句子。本句复现：第 1 天的 new / a / the；第 2 天的 have got；第 4 天的 my；第 5 天的 from；第 6 天的 shop；第 7 天的 of。,"126,130,270,558,559,944,946,972,1019,1052,1073,1074,1093,1117,1455,1490"
