id,sentence_en,sentence_zh,grammar,new_words,phrases,review_note,covered_ids
1,"Hello! Hi! How do you do, good people of Hogwarts?",你好！嗨！你们好吗，霍格沃茨善良的人们？,问候句：Hello 和 Hi 都是打招呼用语；How do you do？是正式问候，意为“你们好”。句子短、有感叹号，读出热情。,hello|/hə'ləʊ/|interj.|你好；喂; how|/haʊ/|adv.|怎样；如何; do|/duː; də/|aux v. & v.|（第三人称单数形式 does /dʌz/）用于构成否定句和疑问句；做；干; you|/juː; ju/|pron.|你；您；你们; people|/'piːpl/|n.|人；人们; hi|/haɪ/|interj.|嗨；喂; good|/ɡʊd/|adj.|好的,How do you do?|你们好吗（正式问候）,第 1 天，全是新词，无旧词；请大声朗读 3 遍。,"1,2,3,4,5,6,7"
2,"Good morning, class! Sit down, please! And good morning, Ms Smith!",同学们，早上好！请坐！史密斯女士，您也早上好！,"祈使句：Sit down, please. 以动词原形开头表示吩咐或请求，please 让语气更礼貌。good morning 是上午问候语；Ms 用在女子的姓氏前，Ms Smith＝史密斯女士。",morning|/'mɔːnɪŋ/|n.|早晨；上午; and|/ænd; ənd/|conj.|和；又; Ms|/mɪz; məz/||（用于女子的姓氏或姓名前，不指明婚否）女士; class|/klɑːs/|n.|班级；课; sit|/sɪt/|v.|坐; down|/daʊn/|adv.|下；向下; please|/pliːz/|interj.|（用于客气地请求或吩咐）请,good morning|早上好; sit down|坐下; Ms Smith|史密斯女士,今日回读：请重新朗读背诵第 1 天的句子。重现旧词：good（第 1 天），把问候从 hello/hi 升级到 good morning。,"8,9,10,11,12,13,14"
3,I am Harry. Can I say thank you to the good people?,我是哈利。我能向这些好心的人们说声谢谢吗？,be 动词：I 后面用 am（I am…＝我是……）。can 是情态动词，后接动词原形，表示“能、可以”；say thank you to sb. 表示“向某人道谢”。,"can|/kæn; kən/|modal v.|能；会; say|/seɪ/|v.|说; to|/tuː; tə/|prep.|常用于原形动词之前，表示该动词为不定式；朝；至; the|/ðiː; ðə, ði/|art.|指已提到或易领会到的人或事物; I|/aɪ/|pron.|我; am|/æm; əm/|v.|是; thank|/θæŋk/|v.|感谢；谢谢",I am…|我是……; say thank you to sb.|向某人说谢谢,今日回读：请重新朗读背诵第 2、1 天的句子。本句重现旧词：you、good、people，继续复习问候场景。,"15,16,17,18,19,20,21"
4,"So, what is my name? My name is Harry — nice to meet you!",那么，我叫什么名字呢？我叫哈利——很高兴见到你！,自我介绍句型 My name is…＝我的名字是……。what 引导特殊疑问句，问“什么”；Nice to meet you 是初次见面时的礼貌用语，so 放句首引出话题。,my|/maɪ/|pron.|我的; name|/neɪm/|n.|名字；名称; is|/ɪz/|v.|是; nice|/naɪs/|adj.|令人愉快的；宜人的; meet|/miːt/|v.|遇见；相逢; so|/səʊ/|conj. & adv.|用来引出评论或问题；所以；这么；那么; what|/wɒt/|pron. & adj.|什么,My name is…|我的名字是……; nice to meet you|很高兴见到你,今日回读：请重新朗读背诵第 3、2 天的句子。重现旧词：to、you；be 动词从 am 扩展到 is（My name is…）。,"22,23,24,25,26,27,28"
5,We are a good class! Please call me Harry — your name is nice too. Goodbye!,我们是个好班级！请叫我哈利——你的名字也很好听。再见！,are 用于主语是 we 的句子（We are…）；call me＋名字＝叫我……；too 放句尾表示“也”；please 放句首让请求更礼貌。,your|/jɔː(r); jə(r)/|pron.|你的；您的；你们的; too|/tuː/|adv.|也；又；太; a|/eɪ; ə/ (an /æn; ən/)|art.|（用于单数可数名词前，表示未曾提到的）一（人、事、物）; are|/ɑː(r); ə(r)/|v.|是; goodbye|/ˌɡʊd'baɪ/|interj. & n.|再见；再会; call|/kɔːl/|v. & n.|把……叫作；（给……）打电话；呼唤；打电话；大声呼叫; me|/miː; mi/|pron.|（I 的宾格）我,call me…|叫我……; a good class|一个好班级,今日回读：请重新朗读背诵第 4、3、1 天的句子。重现旧词：you、Ms、name、is、nice、so；be 动词 am/is/are 至此学全。重现旧词：your、are、name、is、nice；be 动词 am/is/are 至此学全。,"29,30,31,32,33,34,35"
6,"Bye, bye! Let us go — that is fine, that is great!",拜拜！我们走吧——这样很好，这样太棒了！,祈使句 Let us…＝让我们……（常缩写为 let's…）。that is…用来指代刚说到的事情；fine 和 great 都作表语，表示“好／棒”。,fine|/faɪn/|adj.|健康的；美好的; great|/ɡreɪt/|adj.|美妙的；伟大的; that|/ðæt/|pron.|那；那个; let|/let/|v.|允许；让; us|/ʌs; əs/|pron.|（we 的宾格）我们; go|/ɡəʊ/|v.|去；走; bye|/baɪ/ (= goodbye)|interj.|再见,let us go|我们走吧; that is great|那太棒了,今日回读：请重新朗读背诵第 5、4、2 天的句子。重现旧词：is、goodbye 的同义表达 bye（第 5 天学过 goodbye）。,"36,37,38,39,40,41,42"
7,"In the morning it is time for class — keep it tidy, and have a nice time at Hogwarts!",早上该上课了——保持整洁，祝你在霍格沃茨过得愉快！,句型 It is time for…＝到……的时间了；in the morning 表示“在早上”。祈使句 keep…tidy＝保持……整洁；have a nice time 表示“玩得开心、过得愉快”。学校名前用 at（at Hogwarts）。,it|/ɪt/|pron.|它; time|/taɪm/|n.|时间；次; for|/fɔː(r); fə(r)/|prep.|为了；给；对; keep|/kiːp/|v.|（使）保持; tidy|/'taɪdi/|adj.|整洁的；井井有条的; have|/hæv; həv/|v.|（第三人称单数形式 has /hæz; həz/）有; in|/ɪn/|prep.|在……里；表示某事完成或发生的方式,It is time for…|到……的时间了; keep tidy|保持整洁; have a nice time|过得愉快,今日回读：请重新朗读背诵第 6、5、3 天的句子。本句重现旧词：class、nice、a、and、is。重现旧词：morning、class、nice、a、and、is。,"43,44,45,46,47,48,49"
8,"I have a schoolbag, a cap, a ruler and a pencil — brown, black and yellow!",我有一个书包、一顶帽子、一把尺和一支铅笔——棕色的、黑色的和黄色的！,have 表示“有”（I have…＝我有……）。多个物品并列时，最后两项之间用 and 连接；brown、black、yellow 是颜色词，在句中说明物品的颜色。,schoolbag|/'skuːlbæɡ/|n.|书包; cap|/kæp/|n.|（无帽边或有帽舌的）帽子；棒球帽; ruler|/'ruːlə(r)/|n.|尺；直尺; pencil|/'pensl/|n.|铅笔; brown|/braʊn/|adj. & n.|棕色（的）；褐色（的）; black|/blæk/|adj. & n.|黑色（的）; yellow|/'jeləʊ/|adj. & n.|黄色（的）,"in the schoolbag|在书包里; brown, black and yellow|棕色、黑色和黄色",今日回读：请重新朗读背诵第 7、6、4、1 天的句子。重现旧词：I、have、a、and；have 从第 7 天的 have a nice time 扩展为“拥有”。,"50,51,52,53,54,55,56"
9,"What colour are your trousers? Orange, green, blue, white and red!",你的裤子是什么颜色的？橙色、绿色、蓝色、白色和红色的！,What colour…? 用来询问颜色。trousers（裤子）是复数名词，be 动词要用 are；回答时颜色词可以直接并列。,orange|/'ɒrɪndʒ/|adj. & n.|橙红色（的）；橘黄色（的）；橙子；柑橘; green|/ɡriːn/|adj. & n.|绿色（的）; blue|/bluː/|adj. & n.|蓝色（的）; white|/waɪt/|adj. & n.|白色（的）; red|/red/|adj. & n.|红色（的）; colour|/'kʌlə(r)/ (= color)|n.|颜色; trousers|/'traʊzəz/|n. (pl.)|裤子,what colour|什么颜色; your trousers|你的裤子,今日回读：请重新朗读背诵第 8、7、5、2 天的句子。重现旧词：what、are、your、and；颜色词接第 8 天的 brown/black/yellow 继续扩充。,"57,58,59,60,61,62,63"
10,Where are they? Put the shoes and the bicycle by the bed and the desk!,它们在哪里？把鞋子和自行车放到床边和书桌旁！,where 引导特殊疑问句，问“在哪里”（Where are they?＝它们在哪里）。祈使句 put…by…＝把……放在……旁边；鞋一般成对，用复数 shoes。,they|/ðeɪ/|pron.|他（她、它）们; bicycle|/'baɪsɪkl/ (= bike /baɪk/)|n.|自行车；脚踏车; shoe|/ʃuː/|n.|鞋; where|/weə(r)/|adv.|在哪里；到哪里; put|/pʊt/|v.|放; bed|/bed/|n.|床; desk|/desk/|n.|书桌,put…by…|把……放在……旁边; by the bed|在床边,今日回读：请重新朗读背诵第 9、8、6、3 天的句子。重现旧词：are、the、and；疑问词从 what 扩展到 where，疑问句句型保持一致。重现旧词：are、they、the、and、bed；疑问词从 what 扩展到 where，疑问句句型保持一致。,"64,65,66,67,68,69,70"
