单词,音标,词性,中文
"a, an",/ei/,art,第一个字母 A; 一个; 第一的\r
able,/'eibl/,adj,"a. 能干的, 能够的"
about,/ә'baut/,adv & prep,"prep. 在...周围, 大约, 有关, 关于"
I have about £3.,,adv,我有大约3英镑。
a book about animals,,prep,一本关于动物的书
above,/ә'bʌv/,prep,"prep. 在上方, 超出"
act,/ækt/,v,"n. 行动, 行为, 幕, 法案"
accident,/'æksidәnt/,n,"n. 意外事件, 机遇, 事故, 次要方面"
across,/ә'krɒs/,prep,"prep. 越过, 穿过, 与...相交叉, 在...的对面"
activity,/æk'tiviti/,n,"n. 活动, 行动, 活跃, 活力"
actor,/'æktә/,n,"n. 男演员, 行动者"
actually,/'æktʃuәli/,adv,"adv. 事实上, 竟然, 如今, 现在"
add,/æd/,v,"vt. 增加, 添加, 附带说明, 计算...总和"
address,/ә'dres/,n,"n. 住址, 演说, 举止, 灵巧, 求爱"
adult,/'ædʌlt/,adj & n,"n. 成人, 成虫"
advanced,/әd'vɑ:nst/,adj,"a. 在前的, 高级的, 先进的, 年老的"
adventure,/әd'ventʃә/,n,"n. 冒险, 冒险经历"
advertisement,/.ædvә'taizmәnt/,n,"n. 广告, 启事, 广告宣传"
aeroplane,/'єәrәplein/,n,n. 飞机
afraid,/ә'freid/,adj,"a. 害怕的, 恐怕的, 遗憾的"
after,/'ɑ:ftә/,adv & prep,"prep. 在...之后, 由于"
afternoon,/'ɑ:ftә'nu:n/,n,"n. 午后, 下午"
afterwards,/'ɑ:ftәwәdz/,adv,"adv. 然后, 后来"
again,/ә'gein/,adv,"adv. 再一次, 又, 到原处"
against,/ә'geinst/,prep,"prep. 反对, 对着, 倚靠"
age,/eidʒ/,n,"n. 年龄, 老年, 成年, 寿命, 时代, 时期"
ago,/ә'gәu/,adv,adv. 以前
agree,/ә'gri:/,v,"vi. 同意, 赞成, 应允, 适合"
air,/єә/,n,"n. 空气, 旋律, 态度"
airport,/'єәpɒ:t/,n,n. 飞机场
all,/ɒ:l/,det & pron,"a. 所有的, 全部的, 一切的"
all right/alright,,adv,"好, 顺利, 良好的, 正确的"
almost,/'ɒ:lmәust/,adv,"adv. 几乎, 差不多"
alone,/ә'lәun/,adj & adv,"a. 孤独的, 单独的, 独自的"
already,/ɒ:l'redi/,adv,"adv. 已经, 早已"
also,/'ɒ:lsәu/,adv,"adv. 也, 并且, 同样地"
always,/'ɒ:lweiz/,adv,"adv. 总是, 始终"
a.m.,,adv,"上午, 午前"
amazing,/ә'meiziŋ/,adj,a. 令人惊异的
ambulance,/'æmbjulәns/,n,n. 救护车
among,/ә'mʌŋ/,prep,prep. 在...之中
and,/ænd/,conj,"conj. 和, 与"
angry,/'æŋgri/,adj,"a. 生气的, 愤怒的"
animal,/'ænimәl/,n,n. 动物
another,/ә'nʌðә/,det & pron,"a. 另外的, 再一的, 不同的"
answer,/'ɑ:nsә/,n & v,"n. 答案, 回答, 回报, 答辩"
any,/'eni/,det and pron,a. 任何的
anybody,/'enibɒdi/,pron,pron. 任何人
anyone,/'eniwʌn/,pron,pron. 任何人
anything,/'eniθiŋ/,pron,pron. 任何事
anyway,/'eniwei/,adv,"adv. 无论如何, 至少"
anywhere,/'enihwєә/,adv,adv. 无论何处
apartment,/ә'pɑ:tmәnt/,n,"n. 房间, 公寓"
apple,/'æpl/,n,"n. 苹果, 家伙"
appointment,/ә'pɒintmәnt/,n,"n. 约会, 委任的职位, 委派"
area,/'єәriә/,n,"n. 区域, 面积, 范围, 空地"
arm,/ɑ:m/,n,"n. 手臂, 袖子, 狭长港湾, 武器"
